,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
255,DE000MA5M850,"Mini-Future | Long | CAC 40 ® | 5.770,00 | 5.684,729",Mini-Future,CAC 40 ®,02.03.2021,"1,360 EUR","1,350 EUR"
256,DE000MA5MHT2,"Optionsschein | Call | BMW | 94,00 | 18.06.21",Optionsschein,BMW,02.03.2021,"0,038 EUR","0,014 EUR"
257,DE000MA5MGH9,"Optionsschein | Call | Beiersdorf | 81,00 | 17.12.21",Optionsschein,Beiersdorf,02.03.2021,"0,830 EUR","0,800 EUR"
258,DE000MA5MJA8,"Optionsschein | Call | Bayer | 45,00 | 18.03.22",Optionsschein,Bayer,02.03.2021,"1,020 EUR","1,000 EUR"
259,DE000MA5M8C9,"Turbo | Long | CAC 40 ® | 5.730,00 | 18.06.21",Turbo,CAC 40 ®,02.03.2021,"0,910 EUR","0,900 EUR"
260,DE000MA5M8M8,"Turbo | Long | CAC 40 ® | 5.750,00 | 18.06.21",Turbo,CAC 40 ®,02.03.2021,"0,760 EUR","0,750 EUR"
261,DE000MA5M8K2,"Turbo | Long | CAC 40 ® | 5.750,00 | 21.05.21",Turbo,CAC 40 ®,02.03.2021,"0,780 EUR","0,770 EUR"
262,DE000MA5MGS6,"Optionsschein | Call | Beiersdorf | 84,00 | 17.12.21",Optionsschein,Beiersdorf,02.03.2021,"0,670 EUR","0,640 EUR"
263,DE000MA5MHL9,"Optionsschein | Call | BMW | 84,00 | 17.12.21",Optionsschein,BMW,02.03.2021,"0,280 EUR","0,250 EUR"
264,DE000MA5MS74,"Optionsschein | Call | BNP Paribas | 60,00 | 17.12.21",Optionsschein,BNP Paribas,02.03.2021,-,"0,191 EUR"
265,DE000MA5M9R5,"Mini-Future | Short | B2Gold | 5,00 | 5,714",Mini-Future,B2Gold,02.03.2021,"1,000 EUR","0,970 EUR"
266,DE000MA5MHK1,"Optionsschein | Call | BMW | 66,00 | 16.12.22",Optionsschein,BMW,02.03.2021,"1,280 EUR","1,210 EUR"
267,DE000MA5M900,"Turbo Open End | Long | CAC 40 ® | 5.750,00",Turbo Open End,CAC 40 ®,02.03.2021,"0,860 EUR","0,850 EUR"
268,DE000MA5MGB2,"Optionsschein | Call | Beiersdorf | 79,00 | 17.12.21",Optionsschein,Beiersdorf,02.03.2021,"0,950 EUR","0,920 EUR"
