Produkttyp,Valor,SIX Symbol,ISIN,Basiswert,Name,Fälligkeitsdatum,Währung,Geld,Brief
Warrant,57946423,BESA5U,CH0579464238,Belimo Holding AG,Call Warrant,17.09.21,CHF,0.02,0.03
Warrant,57946422,BESA4U,CH0579464220,Belimo Holding AG,Call Warrant,17.09.21,CHF,0.1,0.11
Warrant,57946421,BESA3U,CH0579464212,Belimo Holding AG,Call Warrant,18.06.21,CHF,0.01,0.02
Warrant,57946418,BCSHOU,CH0579464188,Burckhardt Compression Holding AG,Call Warrant,17.06.22,CHF,0.31,0.32
Warrant,57946417,BCSHNU,CH0579464170,Burckhardt Compression Holding AG,Call Warrant,17.06.22,CHF,0.51,0.52
Warrant,57946416,BCSHMU,CH0579464162,Burckhardt Compression Holding AG,Call Warrant,17.06.22,CHF,0.78,0.79
Warrant,57946415,BCSHLU,CH0579464154,Burckhardt Compression Holding AG,Call Warrant,17.12.21,CHF,0.19,0.2
Warrant,57946414,BCSHKU,CH0579464147,Burckhardt Compression Holding AG,Call Warrant,17.12.21,CHF,0.39,0.4
Warrant,57946413,BCSHJU,CH0579464139,Burckhardt Compression Holding AG,Call Warrant,17.12.21,CHF,0.68,0.69
Warrant,57946412,BCSHIU,CH0579464121,Burckhardt Compression Holding AG,Call Warrant,17.09.21,CHF,0.28,0.29
Warrant,57946411,BCSHHU,CH0579464113,Burckhardt Compression Holding AG,Call Warrant,17.09.21,CHF,0.38,0.39
Warrant,57946410,BCSHGU,CH0579464105,Burckhardt Compression Holding AG,Call Warrant,17.09.21,CHF,0.5,0.50999999
Warrant,57946409,BCSHFU,CH0579464097,Burckhardt Compression Holding AG,Call Warrant,18.06.21,CHF,0.57,0.58
Warrant,57946408,BASREU,CH0579464089,Barry Callebaut,Call Warrant,17.06.22,CHF,0.01,0.02
Warrant,57946407,BASRDU,CH0579464071,Barry Callebaut,Call Warrant,17.06.22,CHF,0.08,0.09
Warrant,57946406,BASRCU,CH0579464063,Barry Callebaut,Call Warrant,17.06.22,CHF,0.379999995,0.389999986
Warrant,57946405,BASRBU,CH0579464055,Barry Callebaut,Call Warrant,17.12.21,CHF,0.04,0.05
Warrant,57946404,BASRAU,CH0579464048,Barry Callebaut,Call Warrant,17.12.21,CHF,0.32,0.33
Warrant,57946403,BARR9U,CH0579464030,Barry Callebaut,Call Warrant,17.09.21,CHF,0.03,0.04
Warrant,57946402,DUXFDU,CH0579464022,Dufry,Call Warrant,17.06.22,CHF,0.79,0.81
Warrant,57946401,DUXFCU,CH0579464014,Dufry,Call Warrant,17.06.22,CHF,1.100000024,1.120000005
Warrant,57946400,DUXFBU,CH0579464006,Dufry,Call Warrant,17.06.22,CHF,1.50999999,1.529999971
Warrant,57946399,DUXFAU,CH0579463990,Dufry,Call Warrant,17.12.21,CHF,0.569999993,0.589999974
Warrant,57946398,DUWF9U,CH0579463982,Dufry,Call Warrant,17.12.21,CHF,0.850000024,0.870000005
Warrant,57946397,DUWF8U,CH0579463974,Dufry,Call Warrant,17.12.21,CHF,1.279999971,1.299999952
Warrant,57946396,DUWF7U,CH0579463966,Dufry,Call Warrant,17.09.21,CHF,0.870000005,0.889999986
Warrant,57946395,DUWF6U,CH0579463958,Dufry,Call Warrant,17.09.21,CHF,1.389999986,1.409999967
Warrant,57946394,DUWF5U,CH0579463941,Dufry,Call Warrant,18.06.21,CHF,0.629999995,0.649999976
Warrant,57946393,DUWF4U,CH0579463933,Dufry,Call Warrant,19.03.21,CHF,0.239999995,0.25999999
Warrant,57946392,DKWS3U,CH0579463925,DKSH,Call Warrant,17.06.22,CHF,0.02,0.03
Warrant,57946391,DKWS2U,CH0579463917,DKSH,Call Warrant,17.06.22,CHF,0.13,0.14
Warrant,57946390,DKWS1U,CH0579463909,DKSH,Call Warrant,17.06.22,CHF,0.29,0.3
Warrant,57946389,DKWSOU,CH0579463891,DKSH,Call Warrant,17.12.21,CHF,0.07,0.08
Warrant,57946388,DKWSNU,CH0579463883,DKSH,Call Warrant,17.12.21,CHF,0.230000004,0.239999995
Warrant,57946387,DKWSMU,CH0579463875,DKSH,Call Warrant,17.09.21,CHF,0.1,0.11
Warrant,57946386,DKWSLU,CH0579463867,DKSH,Call Warrant,17.09.21,CHF,0.32,0.33
Warrant,57946385,DKWSKU,CH0579463859,DKSH,Call Warrant,18.06.21,CHF,0.129999995,0.140000001
Warrant,57946384,DKWSJU,CH0579463842,DKSH,Call Warrant,19.03.21,CHF,0.04,0.05
Warrant,57946383,CSWGIU,CH0579463834,Credit Suisse,Call Warrant,15.12.23,CHF,0.5,0.51
Warrant,57946382,CSWGHU,CH0579463826,Credit Suisse,Call Warrant,16.06.23,CHF,0.35,0.36
Warrant,57946381,CSWGGU,CH0579463818,Credit Suisse,Call Warrant,16.06.23,CHF,0.44,0.45
Warrant,57946380,CSWGFU,CH0579463800,Credit Suisse,Call Warrant,16.06.23,CHF,0.55,0.56
Warrant,57946378,CSWGDU,CH0579463784,Credit Suisse,Call Warrant,16.06.23,CHF,0.84,0.85
Warrant,57946377,CSWGCU,CH0579463776,Credit Suisse,Call Warrant,16.06.23,CHF,1.029999971,1.039999962
Warrant,57946376,CSWGBU,CH0579463768,Credit Suisse,Call Warrant,16.12.22,CHF,0.790000021,0.800000012
Warrant,57946375,CSWGAU,CH0579463750,Credit Suisse,Call Warrant,17.09.21,CHF,0.28,0.29
Warrant,57946374,CSVG9U,CH0579463743,Credit Suisse,Call Warrant,17.09.21,CHF,0.44,0.45
Warrant,57946373,CSVG8U,CH0579463735,Credit Suisse,Call Warrant,17.09.21,CHF,0.66,0.67
Warrant,57946372,CSVG7U,CH0579463727,Credit Suisse,Call Warrant,19.03.21,CHF,0.52,0.54
Warrant,57946371,CSVG6U,CH0579463719,Credit Suisse,Call Warrant,19.03.21,CHF,0.689999998,0.709999979
Warrant,57946370,CMVB5U,CH0579463701,Cembra Money Bank,Call Warrant,17.06.22,CHF,0.06,0.07
Warrant,57946369,CMVB4U,CH0579463693,Cembra Money Bank,Call Warrant,17.06.22,CHF,0.13,0.14
Warrant,57946368,CMVB3U,CH0579463685,Cembra Money Bank,Call Warrant,17.06.22,CHF,0.31,0.32
Warrant,57946367,CMVB2U,CH0579463677,Cembra Money Bank,Call Warrant,17.12.21,CHF,0.03,0.04
Warrant,57946366,CMVB1U,CH0579463669,Cembra Money Bank,Call Warrant,17.12.21,CHF,0.079999998,0.090000004
Warrant,57946365,CMVBOU,CH0579463651,Cembra Money Bank,Call Warrant,17.12.21,CHF,0.24,0.25
Warrant,57946364,CMVBNU,CH0579463644,Cembra Money Bank,Call Warrant,17.09.21,CHF,0.09,0.1
Warrant,57946363,CMVBMU,CH0579463636,Cembra Money Bank,Call Warrant,17.09.21,CHF,0.19,0.2
Warrant,57946362,CMVBLU,CH0579463628,Cembra Money Bank,Call Warrant,18.06.21,CHF,0.02,0.03
Warrant,57946361,CMVBKU,CH0579463610,Cembra Money Bank,Call Warrant,18.06.21,CHF,0.13,0.14
Warrant,57946358,CLVNHU,CH0579463586,Clariant,Call Warrant,17.06.22,CHF,0.11,0.12
Warrant,57946357,CLVNGU,CH0579463578,Clariant,Call Warrant,17.06.22,CHF,0.379999995,0.389999986
Warrant,57946356,CLVNFU,CH0579463560,Clariant,Call Warrant,17.06.22,CHF,0.579999983,0.589999974
Warrant,57946355,CLVNEU,CH0579463552,Clariant,Call Warrant,17.12.21,CHF,0.06,0.07
Warrant,57946354,CLVNDU,CH0579463545,Clariant,Call Warrant,17.12.21,CHF,0.3,0.31
Warrant,57946353,CLVNCU,CH0579463537,Clariant,Call Warrant,17.12.21,CHF,0.51,0.52
Warrant,57946352,CLVNBU,CH0579463529,Clariant,Call Warrant,17.09.21,CHF,0.35,0.36
