"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Warrant","57215558","","CH0572155585","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","1.919999957084656","1.970000028610229"
"Constant Leverage","57215548","","CH0572155486","Novartis","5x Long Faktor Zertifikat","Open End","CHF","7.260000228881836","7.409999847412109"
"Constant Leverage","57215547","","CH0572155478","Nestlé","12x Long Faktor Zertifikat","Open End","CHF","1.059999942779541","1.070000052452087"
"Warrant","57215544","ROSUKU","CH0572155445","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","1.360000014305115","1.370000004768372"
"Warrant","57215543","ROSUJU","CH0572155437","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","1.76","1.78"
"Warrant","57215542","ROSUIU","CH0572155429","Zur Rose Group AG","Call Warrant","2021-09-17","CHF","2.230000019073486","2.25"
"Warrant","57215541","ROSUHU","CH0572155411","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","1.62","1.64"
"Warrant","57215540","ROSUGU","CH0572155403","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","1.820000052452087","1.850000023841858"
"Warrant","57215539","ROSUFU","CH0572155395","Zur Rose Group AG","Call Warrant","2021-06-18","CHF","2.029999971389771","2.049999952316284"
"Warrant","57215538","ROSUEU","CH0572155387","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","1.450000047683716","1.470000028610229"
"Warrant","57215537","ROSUDU","CH0572155379","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","1.690000057220459","1.710000038146973"
"Warrant","57215536","ROSUCU","CH0572155361","Zur Rose Group AG","Call Warrant","2021-03-19","CHF","1.929999947547913","1.960000038146973"
"Mini-Future","57215533","","CH0572155338","U-Blox AG","Long Mini-Future","Open End","CHF","0.5090000033378601","0.5329999923706055"
"Mini-Future","57215532","","CH0572155320","U-Blox AG","Long Mini-Future","Open End","CHF","0.5989999771118164","0.6230000257492065"
"Mini-Future","57215531","","CH0572155312","UBS Group AG","Long Mini-Future","Open End","CHF","1.220999956130981","1.245000004768372"
"Mini-Future","57215530","","CH0572155304","UBS Group AG","Long Mini-Future","Open End","CHF","1.320999979972839","1.345000028610229"
"Mini-Future","57215529","","CH0572155296","UBS Group AG","Long Mini-Future","Open End","CHF","1.422000050544739","1.445999979972839"
"Mini-Future","57215528","","CH0572155288","UBS Group AG","Long Mini-Future","Open End","CHF","1.523000001907349","1.547000050544739"
"Mini-Future","57215527","","CH0572155270","UBS Group AG","Long Mini-Future","Open End","CHF","1.725000023841858","1.748999953269958"
"Mini-Future","57215526","","CH0572155262","Temenos","Long Mini-Future","Open End","CHF","1.282999992370605","1.317000031471252"
"Mini-Future","57215525","","CH0572155254","Temenos","Long Mini-Future","Open End","CHF","2.009000062942505","2.042999982833862"
"Mini-Future","57215524","","CH0572155247","Sulzer","Long Mini-Future","Open End","CHF","0.7179999947547913","0.7419999837875366"
"Mini-Future","57215523","","CH0572155239","Sulzer","Long Mini-Future","Open End","CHF","0.7839999794960022","0.8080000281333923"
"Mini-Future","57215522","","CH0572155221","Sulzer","Long Mini-Future","Open End","CHF","0.8489999771118164","0.8730000257492065"
"Mini-Future","57215521","","CH0572155213","Straumann","Long Mini-Future","Open End","CHF","1.307999968528748","1.332000017166138"
