"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV07VL;""Daimler AG"";""Endlos Turbo Long"";""Endlos"";""14:18:50"";""DZ BANK"";""0","33 EUR"";""0","34 EUR""",
"DV07W8;""GFT TECHNOLOGIES"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07TP;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""14:21:35"";""DZ BANK"";""0","30 EUR"";""0","32 EUR""",
"DV07ZR;""SCHAEFFLER AG INHABER-VORZUGSAKT.O.ST. O.N."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07XQ;""Henkel AG & Co. KGaA Vz."";""Endlos Turbo Long"";""Endlos"";""14:36:30"";""DZ BANK"";""0","10 EUR"";""0","11 EUR""",
"DV0704;""Volkswagen AG Vz."";""Endlos Turbo Long"";""Endlos"";""14:18:21"";""DZ BANK"";""0","44 EUR"";""0","45 EUR""",
"DV0709;""Vonovia SE"";""Endlos Turbo Long"";""Endlos"";""14:24:58"";""DZ BANK"";""0","13 EUR"";""0","14 EUR""",
"DV0760;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:34:45"";""DZ BANK"";""2","33 EUR"";""2","34 EUR""",
"DV07SV;""Microsoft Corporation"";""Endlos Turbo Long"";""Endlos"";""14:31:54"";""DZ BANK"";""0","33 EUR"";""0","55 EUR""",
"DV07T9;""Anheuser-Busch InBev"";""Endlos Turbo Long"";""Endlos"";""14:26:18"";""DZ BANK"";""0","12 EUR"";""0","13 EUR""",
"DV07SQ;""Johnson & Johnson"";""Endlos Turbo Long"";""Endlos"";""13:08:46"";""DZ BANK"";""0","01 EUR"";""0","40 EUR""",
"DV07TJ;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""14:33:31"";""DZ BANK"";""0","44 EUR"";""0","46 EUR""",
"DV07HV;""Palladium"";""Endlos Turbo Long"";""Endlos"";""14:28:32"";""DZ BANK"";""2","27 EUR"";""3","07 EUR""",
"DV07Z1;""Siemens Energy AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07TF;""Starbucks Corp."";""Endlos Turbo Long"";""Endlos"";""14:30:01"";""DZ BANK"";""0","06 EUR"";""0","25 EUR""",
"DV07S5;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""13:08:46"";""DZ BANK"";""0","001 EUR"";""0","30 EUR""",
