Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UYU5;Infineon;24.03.2023 00:00:00;99,99;100,09;2,05 %;37,50 %;2,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYN0;HeidelbergCement;24.03.2023 00:00:00;100,25;100,35;4,41 %;16,00 %;4,60 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYL4;Fresenius M.C.;24.03.2023 00:00:00;98,00;98,10;5,29 %;7,25 %;4,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UYD1;E.ON;24.03.2023 00:00:00;98,13;98,23;5,83 %;5,33 %;4,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UY61;Deutsche Telekom;24.03.2023 00:00:00;100,47;100,57;1,57 %;23,49 %;1,85 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UY46;Deutsche Post;24.03.2023 00:00:00;98,18;98,28;5,20 %;8,91 %;4,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXZ6;Deutsche Börse;24.03.2023 00:00:00;99,64;99,74;2,03 %;26,39 %;1,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXY9;Deutsche Bank;24.03.2023 00:00:00;101,84;101,99;5,55 %;20,21 %;6,60 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXR3;Covestro;24.03.2023 00:00:00;101,30;101,50;5,11 %;16,61 %;5,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXT9;Daimler;24.03.2023 00:00:00;98,82;98,92;3,90 %;24,53 %;3,35 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UXP7;Covestro;24.03.2023 00:00:00;100,88;101,08;2,45 %;33,29 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXK8;Commerzbank;24.03.2023 00:00:00;100,75;100,90;5,77 %;21,73 %;6,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXG6;BMW;24.03.2023 00:00:00;99,49;99,59;4,01 %;16,08 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UXA9;Bayer;24.03.2023 00:00:00;98,32;98,42;2,95 %;29,77 %;2,15 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UX96;BASF;24.03.2023 00:00:00;99,56;99,66;5,62 %;7,72 %;5,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UX13;ArcelorMittal;24.03.2023 00:00:00;100,13;100,23;5,97 %;26,42 %;6,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UX05;Allianz;24.03.2023 00:00:00;99,93;100,03;4,83 %;9,91 %;4,85 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UX39;AXA;24.03.2023 00:00:00;100,06;100,16;4,06 %;20,77 %;4,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VAA5;Carl Zeiss Meditec;28.04.2023 00:00:00;97,33;97,53;4,37 %;15,53 %;3,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2VA19;Telefonica;24.03.2023 00:00:00;96,07;96,27;9,88 %;4,88 %;7,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZS6;SAP;24.03.2023 00:00:00;98,34;98,44;3,80 %;14,76 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZF3;Nokia;24.03.2023 00:00:00;98,94;99,14;6,70 %;13,88 %;6,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UZ94;MTU Aero Engines;24.03.2023 00:00:00;101,75;101,95;6,45 %;11,17 %;7,50 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UYZ4;ING;24.03.2023 00:00:00;100,48;100,58;5,59 %;20,25 %;5,90 %;EUR;;;ESG (nachhaltig)
